detection_id,score,frame_id,est_fontsize,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_w,bbox_h,kisolation_w,kisolation_h
0,0.65720564,317,13,658,665,98,129,7,31,13.446808510638334,31
0,0.6759924,318,13,658,665,98,129,7,31,13.444444444444457,31
0,0.65645754,319,13,658,665,98,129,7,31,13.442105263157941,31
0,0.65691864,320,13,658,665,98,129,7,31,13.439790575916277,31
0,0.65650564,321,13,658,665,98,129,7,31,13.4375,31
0,0.6563379,322,13,658,665,98,129,7,31,13.435233160621806,31
0,0.66984093,323,13,658,665,98,129,7,31,13.432989690721683,31
0,0.6579167,324,13,658,665,98,129,7,31,13.430769230769215,31
0,0.65650564,325,13,658,665,98,129,7,31,13.428571428571445,31
0,0.6563379,326,13,658,665,98,129,7,31,13.42639593908632,31
0,0.65460634,327,13,658,665,98,129,7,31,13.42424242424238,31
0,0.65691864,328,13,658,665,98,129,7,31,13.422110552763797,31
0,0.65720564,329,13,658,665,98,129,7,31,13.419999999999959,31
0,0.6759924,330,13,658,665,98,129,7,31,13.417910447761187,31
0,0.65645754,331,13,658,665,98,129,7,31,13.415841584158443,31
0,0.65691864,332,13,658,665,98,129,7,31,13.413793103448256,31
0,0.65650564,333,13,658,665,98,129,7,31,13.41176470588232,31
0,0.6563379,334,13,658,665,98,129,7,31,13.409756097560944,31
0,0.66984093,335,13,658,665,98,129,7,31,13.407766990291293,31
0,0.6580862,336,13,658,665,98,129,7,31,13.405797101449252,31
0,0.6708794,337,13,658,665,98,129,7,31,13.403846153846189,31
0,0.6710092,338,13,658,665,98,129,7,31,13.401913875598098,31
0,0.9638662,339,16,793,800,117,154,7,37,13.414285714285711,37
0,0.9639314,340,16,793,800,117,154,7,37,13.426540284360158,37
0,0.96189135,341,16,793,800,117,154,7,37,13.43867924528297,37
0,0.9599141,342,16,793,800,116,154,7,38,13.45070422535207,38
0,0.9615653,343,15,793,799,117,153,6,36,13.457943925233621,36
0,0.9304061,344,15,833,839,118,154,6,36,13.465116279069775,36
0,0.92996794,345,15,833,839,118,154,6,36,13.472222222222172,36
0,0.93335754,346,15,833,839,118,154,6,36,13.479262672811046,36
0,0.9271943,347,16,833,840,117,154,7,37,13.490825688073414,37
0,0.9233442,348,15,833,839,118,154,6,36,13.497716894977202,36
0,0.9249924,349,16,833,840,117,154,7,37,13.5090909090909,37
0,0.92434007,350,16,833,840,117,154,7,37,13.520361990950278,37
0,0.9216463,351,15,833,840,118,154,7,36,13.527027027026975,36
0,0.9239183,352,15,833,840,118,154,7,36,13.533632286995498,36
0,0.9930249,381,16,793,800,116,155,7,39,13.54464285714289,39
0,0.9929859,382,16,793,800,116,155,7,39,13.555555555555543,39
0,0.99296755,383,16,793,800,116,155,7,39,13.566371681415944,39
0,0.9928331,384,16,792,800,116,155,8,39,13.577092511013234,39
0,0.9928226,385,16,792,800,116,155,8,39,13.587719298245588,39
0,0.99290675,386,16,792,800,116,155,8,39,13.598253275109187,39
0,0.99286836,387,16,792,800,116,155,8,39,13.608695652173878,39
0,0.99289304,388,16,792,800,116,155,8,39,13.619047619047592,39
0,0.99284595,389,16,792,800,116,155,8,39,13.629310344827559,39
0,0.99295866,390,16,792,800,116,155,8,39,13.639484978540736,39
0,0.99296045,391,16,792,800,116,155,8,39,13.649572649572633,39
0,0.9929572,392,16,792,800,116,155,8,39,13.659574468085111,39
0,0.99288684,393,16,792,800,116,155,8,39,13.669491525423723,39
0,0.9929517,394,16,792,800,116,155,8,39,13.67932489451482,39
0,0.992952,395,16,792,800,116,155,8,39,13.689075630252091,39
0,0.9925127,411,16,792,800,116,155,8,39,13.698744769874452,39
0,0.98182636,412,16,804,811,117,154,7,37,13.708333333333371,37
0,0.9809867,413,16,804,811,117,154,7,37,13.717842323651439,37
0,0.9810477,414,16,804,811,117,154,7,37,13.727272727272748,37
0,0.981036,415,16,804,811,117,154,7,37,13.736625514403272,37
0,0.955352,416,14,818,826,120,153,8,33,13.737704918032819,33
0,0.9538609,417,14,818,826,121,154,8,33,13.73877551020405,33
0,0.9523203,418,14,818,826,120,154,8,34,13.739837398373993,34
0,0.9529973,419,14,818,826,120,154,8,34,13.740890688259128,34
0,0.95345694,420,14,818,826,120,154,8,34,13.741935483870975,34
0,0.95837885,421,15,831,838,118,154,7,36,13.746987951807228,36
0,0.9566438,422,15,831,838,118,154,7,36,13.751999999999953,36
0,0.9565583,423,15,831,838,118,154,7,36,13.75697211155375,36
0,0.95673686,424,15,831,838,118,154,7,36,13.761904761904816,36
0,0.9575651,425,15,831,838,118,154,7,36,13.766798418972371,36
